2026-01-21T21:21:58+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"FirstFitDecreasing\near-half\test17.txt",112000,5.57029,5.44085,us,,,,,,13,22
"BestFit\near-half\test17.txt",112000,6.47754,6.2779,us,,,,,,14,22
"BestFitDecreasing\near-half\test17.txt",74667,7.94798,7.95197,us,,,,,,13,22
"FirstFit\near-half\test18.txt",203636,3.44238,3.37612,us,,,,,,10,17
"FirstFitDecreasing\near-half\test18.txt",172308,4.1707,4.17131,us,,,,,,10,17
"BestFit\near-half\test18.txt",160000,4.55131,4.39453,us,,,,,,10,17
"BestFitDecreasing\near-half\test18.txt",112000,5.79698,5.71987,us,,,,,,10,17
"FirstFit\near-half\test19.txt",112000,6.28575,6.2779,us,,,,,,17,28
"FirstFitDecreasing\near-half\test19.txt",89600,7.33411,6.97545,us,,,,,,16,28
"BestFit\near-half\test19.txt",89600,8.957,8.54492,us,,,,,,16,28
"BestFitDecreasing\near-half\test19.txt",64000,11.4701,11.4746,us,,,,,,16,28
"FirstFit\near-half\test20.txt",194783,3.65575,3.69,us,,,,,,10,18
"FirstFitDecreasing\near-half\test20.txt",144516,4.45342,4.4329,us,,,,,,10,18
"BestFit\near-half\test20.txt",100000,5.02009,5,us,,,,,,10,18
"BestFitDecreasing\near-half\test20.txt",89600,6.41329,6.2779,us,,,,,,10,18
"FirstFit\near-half\test21.txt",100000,5.12899,5.15625,us,,,,,,15,25
"FirstFitDecreasing\near-half\test21.txt",100000,6.0232,5.78125,us,,,,,,14,25
"BestFit\near-half\test21.txt",112000,7.18345,7.11496,us,,,,,,15,25
"BestFitDecreasing\near-half\test21.txt",74667,9.4986,9.41681,us,,,,,,14,25
"FirstFit\near-half\test22.txt",560000,1.19635,1.19978,us,,,,,,4,6
