2026-01-21T20:17:36+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"FirstFit\near-half\test6.txt",235789,3.11929,3.04828,us,,,,,,9,15
"FirstFitDecreasing\near-half\test6.txt",213333,3.28522,3.22266,us,,,,,,8,15
"BestFit\near-half\test6.txt",172308,3.8989,3.80859,us,,,,,,9,15
"BestFitDecreasing\near-half\test6.txt",160000,4.42794,4.29688,us,,,,,,8,15
"Backtracking_Unsoreted_no_prune\near-half\test6.txt",37,19861.1,19425.7,us,,,,,,8,15
"Backtracking_Unsoreted_better_prune\near-half\test6.txt",2635,260.747,260.911,us,,,,,,8,15
"Backtracking_Unsoreted_best_prune\near-half\test6.txt",2800,265.744,267.857,us,,,,,,8,15
"Backtracking_Soreted_asc_no_prune\near-half\test6.txt",9,80573.8,81597.2,us,,,,,,8,15
"Backtracking_Soreted_asc_better_prune\near-half\test6.txt",19,37528.2,36184.2,us,,,,,,8,15
"Backtracking_Soreted_asc_best_prune\near-half\test6.txt",18,38508.2,38194.4,us,,,,,,8,15
"Backtracking_Soreted_desc_no_prune\near-half\test6.txt",75,8971.86,8958.33,us,,,,,,8,15
"Backtracking_Soreted_desc_better_prune\near-half\test6.txt",89600,7.21717,6.97545,us,,,,,,8,15
"Backtracking_Soreted_desc_best_prune\near-half\test6.txt",89600,7.32791,7.32422,us,,,,,,8,15
"FirstFit\near-half\test7.txt",497778,1.49511,1.5067,us,,,,,,5,7
"FirstFitDecreasing\near-half\test7.txt",344615,1.79659,1.76828,us,,,,,,5,7
"BestFit\near-half\test7.txt",448000,1.7143,1.70898,us,,,,,,5,7
"BestFitDecreasing\near-half\test7.txt",320000,2.04171,2.00195,us,,,,,,5,7
"Backtracking_Unsoreted_no_prune\near-half\test7.txt",89600,8.09469,8.02176,us,,,,,,5,7
"Backtracking_Unsoreted_better_prune\near-half\test7.txt",112000,5.58982,5.58036,us,,,,,,5,7
"Backtracking_Unsoreted_best_prune\near-half\test7.txt",112000,5.60595,5.58036,us,,,,,,5,7
"Backtracking_Soreted_asc_no_prune\near-half\test7.txt",49778,13.3763,12.8696,us,,,,,,5,7
"Backtracking_Soreted_asc_better_prune\near-half\test7.txt",56000,12.0231,11.9978,us,,,,,,5,7
"Backtracking_Soreted_asc_best_prune\near-half\test7.txt",64000,11.7876,11.4746,us,,,,,,5,7
"Backtracking_Soreted_desc_no_prune\near-half\test7.txt",100000,5.30507,5.3125,us,,,,,,5,7
"Backtracking_Soreted_desc_better_prune\near-half\test7.txt",186667,3.6918,3.68303,us,,,,,,5,7
"Backtracking_Soreted_desc_best_prune\near-half\test7.txt",186667,3.69621,3.59932,us,,,,,,5,7
"FirstFit\near-half\test8.txt",448000,1.79676,1.81362,us,,,,,,6,9
"FirstFitDecreasing\near-half\test8.txt",320000,2.16027,2.14844,us,,,,,,6,9
"BestFit\near-half\test8.txt",320000,2.17212,2.19727,us,,,,,,6,9
"BestFitDecreasing\near-half\test8.txt",248889,2.60902,2.51116,us,,,,,,6,9
"Backtracking_Unsoreted_no_prune\near-half\test8.txt",18667,39.0513,39.3408,us,,,,,,6,9
"Backtracking_Unsoreted_better_prune\near-half\test8.txt",44800,15.1004,14.9972,us,,,,,,6,9
"Backtracking_Unsoreted_best_prune\near-half\test8.txt",40727,15.2747,14.9624,us,,,,,,6,9
"Backtracking_Soreted_asc_no_prune\near-half\test8.txt",8960,78.2628,78.4738,us,,,,,,6,9
"Backtracking_Soreted_asc_better_prune\near-half\test8.txt",11200,62.2206,62.779,us,,,,,,6,9
"Backtracking_Soreted_asc_best_prune\near-half\test8.txt",11200,63.7007,61.3839,us,,,,,,6,9
"Backtracking_Soreted_desc_no_prune\near-half\test8.txt",44800,15.7826,15.6948,us,,,,,,6,9
"Backtracking_Soreted_desc_better_prune\near-half\test8.txt",149333,4.60492,4.49917,us,,,,,,6,9
"Backtracking_Soreted_desc_best_prune\near-half\test8.txt",160000,4.6639,4.6875,us,,,,,,6,9
"FirstFit\near-half\test9.txt",448000,1.62339,1.56948,us,,,,,,5,8
"FirstFitDecreasing\near-half\test9.txt",373333,1.92558,1.92522,us,,,,,,5,8
"BestFit\near-half\test9.txt",373333,1.95115,1.88337,us,,,,,,5,8
"BestFitDecreasing\near-half\test9.txt",298667,2.39217,2.14495,us,,,,,,5,8
"Backtracking_Unsoreted_no_prune\near-half\test9.txt",34462,21.6256,21.3097,us,,,,,,5,8
"Backtracking_Unsoreted_better_prune\near-half\test9.txt",74667,8.51971,8.3705,us,,,,,,5,8
"Backtracking_Unsoreted_best_prune\near-half\test9.txt",74667,8.5669,8.57976,us,,,,,,5,8
"Backtracking_Soreted_asc_no_prune\near-half\test9.txt",11200,52.7547,51.6183,us,,,,,,5,8
"Backtracking_Soreted_asc_better_prune\near-half\test9.txt",17231,39.7403,39.899,us,,,,,,5,8
"Backtracking_Soreted_asc_best_prune\near-half\test9.txt",17920,40.5216,40.9807,us,,,,,,5,8
"Backtracking_Soreted_desc_no_prune\near-half\test9.txt",56000,13.1936,13.3929,us,,,,,,5,8
"Backtracking_Soreted_desc_better_prune\near-half\test9.txt",179200,4.04198,4.09807,us,,,,,,5,8
"Backtracking_Soreted_desc_best_prune\near-half\test9.txt",179200,4.01363,4.01088,us,,,,,,5,8
"FirstFit\near-half\test10.txt",100000,5.09712,5.15625,us,,,,,,16,25
"FirstFitDecreasing\near-half\test10.txt",112000,6.14997,6.13839,us,,,,,,15,25
"BestFit\near-half\test10.txt",89600,7.36532,7.32422,us,,,,,,16,25
"BestFitDecreasing\near-half\test10.txt",74667,9.22863,9.20755,us,,,,,,15,25
"FirstFit\near-half\test11.txt",144516,4.78932,4.64914,us,,,,,,14,24
"FirstFitDecreasing\near-half\test11.txt",100000,5.75364,5.625,us,,,,,,13,24
"BestFit\near-half\test11.txt",112000,6.98074,6.97545,us,,,,,,14,24
"BestFitDecreasing\near-half\test11.txt",74667,9.12191,8.78902,us,,,,,,13,24
"FirstFit\near-half\test12.txt",448000,1.48181,1.49972,us,,,,,,5,7
"FirstFitDecreasing\near-half\test12.txt",373333,1.7744,1.75781,us,,,,,,5,7
"BestFit\near-half\test12.txt",407273,1.63985,1.64969,us,,,,,,5,7
"BestFitDecreasing\near-half\test12.txt",373333,2.05207,2.05078,us,,,,,,5,7
