2026-01-21T21:31:26+02:00
Running C:\Users\Alex05\Documents\Analiza algoritmilor\Bin-Packing-AA\src\bench.exe
Run on (16 X 2918 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1280 KiB (x8)
  L3 Unified 24576 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Bins","Packets"
"Backtracking_Sorted_desc_better_prune\random\test23.txt",74667,10.6975,10.6724,us,,,,,,11,20
"Backtracking_Sorted_desc_best_prune\random\test23.txt",74667,11.391,11.0909,us,,,,,,11,20
"Backtracking_Sorted_desc_better_prune\random\test24.txt",64000,10.4474,10.0098,us,,,,,,9,17
"Backtracking_Sorted_desc_best_prune\random\test24.txt",64000,10.5758,10.0098,us,,,,,,9,17
"Backtracking_Sorted_desc_better_prune\two-cat\test0.txt",74667,8.98923,8.99829,us,,,,,,4,14
"Backtracking_Sorted_desc_best_prune\two-cat\test0.txt",74667,9.27779,9.20755,us,,,,,,4,14
"Backtracking_Sorted_desc_better_prune\two-cat\test5.txt",248889,2.72814,2.6995,us,,,,,,3,5
"Backtracking_Sorted_desc_best_prune\two-cat\test5.txt",248889,2.76058,2.63672,us,,,,,,3,5
"Backtracking_Sorted_desc_better_prune\two-cat\test6.txt",248889,3.28152,3.13895,us,,,,,,2,6
"Backtracking_Sorted_desc_best_prune\two-cat\test6.txt",213333,3.39402,3.22266,us,,,,,,2,6
"Backtracking_Sorted_desc_better_prune\two-cat\test7.txt",144516,5.32746,5.29786,us,,,,,,4,10
"Backtracking_Sorted_desc_best_prune\two-cat\test7.txt",112000,5.23753,5.16183,us,,,,,,4,10
"Backtracking_Sorted_desc_better_prune\two-cat\test12.txt",100000,5.64607,5.625,us,,,,,,5,12
"Backtracking_Sorted_desc_best_prune\two-cat\test12.txt",100000,5.77279,5.78125,us,,,,,,5,12
"Backtracking_Sorted_desc_better_prune\two-cat\test13.txt",56000,13.2497,13.1138,us,,,,,,8,19
"Backtracking_Sorted_desc_best_prune\two-cat\test13.txt",49778,13.7467,12.8696,us,,,,,,8,19
"Backtracking_Sorted_desc_better_prune\two-cat\test14.txt",161858,4.35435,4.24755,us,,,,,,4,9
